Sample No.,Timestamp,Frequency (Hz),Frequency (kHz),DC Voltage (V),Status
1,02:15:27,0.000,0.000,0.000961,NO SIGNAL
2,02:15:29,0.000,0.000,-0.001519,NO SIGNAL
3,02:15:30,0.000,0.000,2.861877,NO SIGNAL
4,02:15:32,33333.336,33.333,2.863029,OK
5,02:15:33,63451.773,63.452,2.863384,OK
6,02:15:35,33844.766,33.845,2.863599,OK
7,02:15:36,32894.738,32.895,2.863726,OK
8,02:15:38,32425.420,32.425,2.863795,OK
9,02:15:39,32905.562,32.906,2.863875,OK
10,02:15:41,32829.941,32.830,2.863928,OK
11,02:15:42,33844.766,33.845,2.864001,OK
12,02:15:44,32320.623,32.321,2.864037,OK
13,02:15:45,71428.570,71.429,2.864055,OK
14,02:15:47,32341.525,32.342,2.864089,OK
15,02:15:48,32665.506,32.666,2.864114,OK
16,02:15:50,33046.926,33.047,2.864151,OK
17,02:15:51,32552.084,32.552,-0.004851,OK
18,02:15:53,0.000,0.000,0.000798,NO SIGNAL
19,02:15:54,0.000,0.000,-0.001070,NO SIGNAL
20,02:15:55,0.000,0.000,-0.000105,NO SIGNAL
